abbr,en,ko
ACADS,Air combat assessment and debriefing system,
ACAL(A-CAL),Altitude calibration,고도 교정
ACALS,Army computer-aided acquisition and,
ACAP,Avionics cluster application program,항공전자 클러스터 적용 프로그램
ACAR,Advisory committee for aeronautical research,미국 항공 연구 자문 위원회
ACARS,A,자동 통신 및 기록 시스템
ACARS,ARNIC communications addressing and report system,ARINC 통신접속 및 보고장치
ACAS,Airborne collision and avoidance system,항공기(공중) 충돌 방지장치
ACAT,Acquisition category,획득 분류(미 해군)
ACAW,Aircraft control and warning,항공기 제어  및 경보
ACB,Air circuit breaker,회로 차단기
Acc,Accept,
ACC,Accuracy control character,
ACC,Air combat command,공중 전투사령부
ACC,Air component command,공군구성군 사령부
ACC,Aircraft controlling custodian,
ACC,Antenna coupler control,안테나 결합제어
ACC,Area control center,지역 통제센터
ACC,Avionics computer control,항공전자 컴퓨터 제어
ACC,Axis controlled carrier,종축선 통제 운반
ACC TRK,Accuracy tracking,정확도 추적
ACCEL,Accelerate & decelerate climb,가감속상승
ACCEL,Accelerated test,가속시험
ACCEL,Accelerating grid,가속 그리드
ACCEL,"Accelerating, Acceleration",가속
ACCEL,Acceleration,가속
ACCEL,Acceleration check,가속검사
ACCEL,Acceleration control unit,가속조절장치
ACCEL,Acceleration error,가속오차
ACCEL,Acceleration limit,"가속 한계, 가속 제한"
ACCEL,Acceleration-stop distance,가속정지거리
ACCEL,Accelerator,가속기
ACCEL,Accelerator system,가속계통
ACCEL,Accelerometer,가속도계
ACCEL,Acceptance,"수락, 허용"
ACCEL,Acceptance Level,허용 수준
ACCEL,Acceptance quality level,합격품질수준
ACCEL,Acceptance rate,허용률<항공기의 착륙>
ACCEL,Access cover,점검 덮개
ACCEL,Access Door,점검창
ACCEL,Access panel,점검판
ACCEL,Access port,점검구
ACCEL,Accessories,부속품
ACCEL,Accessory,"보기(補器), 부속"
ACCEL,Accessory drive gearbox,보기구동 기어박스
ACCEL,Accessory Drive Shaft,보기 구동축
ACCEL,Accessory Geartrain,보기 기어트레인
ACCHAN,Accident analysis report,사고 분석보고서
ACCHAN,Accident cause,사고 원인
ACCHAN,Accident investigation,사고 조사
ACCHAN,Accident proneness,사고 경향성(傾向性)
ACCHAN,Accident rate,사고율
ACCHAN,Accident report,사고 보고서
ACCHAN,Accidental attack,우발 공격
ACCHAN,Acclimatization,순응(順應)
ACCHAN,Allied command channel,
ACCOMP,Accomplish,
ACCP,Administrative controls change proposal,항공기 변경요구도
ACCRY,Accessory,악세서리
ACCS,Air command and control system,대기 명령 및 통제 시스템
ACCS,Airborne computing & communications system,항공기 탑재 연산 및 통신 시스템
ACCUM,Accumulator,어큐뮬레이터 (누적기)
ACCUM,Accuracy,정확도
ACD,Accuracy control document,정밀 제어 문서
ACD,Adapter Control Detector,어댑터 제어 탐지기
ACD,Administrative commitment document,항공전자 개념문서
ACD,Aircraft change directive,
ACD,Avionics concept document,
ACDD,Aircraft configuration description document,항공기 형상 기술서
ACDS,Attitude control & determination system,자세 제어 및 결정시스템
Acdt,Accident,
ACDTR,Airborne central data tape recorder,항공기 중앙자료 테입 기록계
ACE,Accelerated copilot enrichment,신속한 부조종사 향상
ACE,Acquisition civil engineering,
ACE,Actuator control electronics,전자식 작동기 제어
ACE,Air combat evaluator,
ACE,Air combat excellence,
ACE,Airborne compensational equipment,항공기 탑재 보상장비
ACE,Airborne cooperational equipment,
ACE,Allied command europe,유럽 통합사령부
ACE,AMRAAM captive equipment,
ACE,Automatic checkout equipment,
ACE,Automatic contrast enhancement,
ACE II,AMRAAM captive equipment II,
ACE/RE,Airborne countermeasures ejection/release equipment,
ACEC,Ada compiler evaluation capability,
ACEE,Aircraft energy efficient (program),고효율 에너지화 프로그램 (NASA)
ACEM,Area customer engineering manager,
ACES,Aceton,아세톤
ACES,Advanced concept ejection system,첨단 개념의 사출계통
ACES,Arrow continuation experiments (program),ACES 미사일 계획
ACES,Automatic control and event sequencing,자동제어 및 순차적 작동
ACETS,Advanced compact engine tracking system,
ACETS,Air-cushion equipment transportation system,공기 부양장비
ACEVAL,Air combat evaluation,
ACF,Access control facility,
ACF,Advanced combat fighter,최신 전투기
ACF,Air combat fighter,공중전 전투기
ACF,Axial centrifugal flow,원심 축류흐름
ACFPD,Air combat fighter production delivery,
ACFR,Advisory council on federal reports,연방 보고 자문위원회
ACFT,Aircraft,항공기
ACHI,Avionics cluster hardware item,항공전자 클러스터 하드웨어 아이템
ACI,Aircraft condition inspection,항공기 상태 검사
ACI,Allocated configuration identification,개발 형상 식별서
ACI,Analytical Condition Inspection,상태 분석 검사
ACI,Armament control indicator,무장통제 지시장치
ACI,Avionics caution indicator,항공전자 경보지시기
ACIC,Acid Activator,산성 활성제
ACIC,Acid lead,산화납
ACIC,Acid value,산도
ACIC,Acide,산
ACIC,Aeronautical chart and information center,항공 챠트 및 정보센터
ACIS,Advanced cabin interphone system,첨단객실 인터폰시스템
ACIU,Advanced computer interface unit,
ACK,Acknowledge,"사례, 승인"
ACL,All critical learning,
ACL,Allowable cabin load,허용객실 탑재량
ACL,Anti-collision light,충돌 경고등
ACL,Applied calibration laboratory,
ACL,Automatic carrier landing,
ACL,Avionics caution light,항공전자 경고등
ACLD,Air-cooled,
ACLS,Air cushion landing system,공기 부양 착륙장치
ACLS,Automatic carrier landing system,항모 자동 착륙장치
ACLVTR,Activator,
ACM,Advanced composite material,첨단 복합재료
ACM,Advanced cruise missile,
ACM,Air combat maneuvering,
ACM,Air combat mode,공중전 모드
ACM,Air control mode,
ACM,Air cycle machine,
ACM,Air cycle machine instrumentation,공중 전투 기동장치
ACM,Area computer manager,
ACM,Association for computing machinery,
ACM,Association of computer manufacturers,
ACMI,Air combat maneuvering instrumentation,공중 전투 기동 측정 장치
ACMR,Air combat maneuvering range,공중전 기동 항속거리
ACMS,Advanced configuration management system,첨단 형상관리 체계
ACMS,Aircraft condition monitoring systems,항공기 상태 감시시스템
ACMS,Armament control and monitoring system,무장통제 및 감시시스템
ACN,Activity control number,
ACN,Administrative change notice,
ACN,Advanced change notice,사전변경 통지
ACN,Aircraft classification number (ICAO),항공기 분류 번호
ACN,Alignment change notice,
ACN,Authorized code number,
ACN,Automatic celestial navigation,자동 천체 항법
ACNIP,Auxiliary communication navigation and identification panel,보조 통신 항법 및 식별패널
ACO,Administrative contracting officer,계약 집행담당관
ACO,Advance contracting officer,
ACO,Air force control office,공군 통제소
ACOC,Alternate command operation center (Royal Saudi Air Force),
ACOND,Air conditioner,
ACOOM,Accommodate,
ACOS,Acoustic fatigue,음향피로
ACOS,Acoustic test,음향시험
ACOS,Acoustic velocity,음속
ACOS,Acoustic wind tunnel,음향풍동
ACOS,Automatic checkout set,
ACOS,Avionics cluster operating system,항공전자 클러스터 연동시스템
ACP,Administrative change proposal,
ACP,Affordable composites propulsion,가능한 복합소재 엔진개발(미)
ACP,Aircraft power panel,
ACP,Airlift command post,
ACP,Area coordinating paper,
ACP,Armament control panel,무장제어 패널
ACP,Auxiliary communication panel,보조통신 패널
ACP,Auxiliary control panel,보조 제어 판넬
ACP,Avionics Control Panel,항전 제어 판넬
ACPA,Adaptive-controlled phased array,적응제어 위상배열
Acq,Acquisition,획득
Acq,Acquisition and tracking radar,포착 추적 레이다
Acq,Acquisition radar,"포착 레이다, 획득 레이다"
ACR,Aircraft checker's report,항공기
ACR,Armored cavalry regiment,
ACRB,Avionics capabilities review board,항공전자 특성 검토회의
ACRIU,Advanced conventional remote interface unit,공대지 무기 원격 연동장비
ACRN,Accounting classification reference number acs access,
ACRN,Acrobat (ics),곡예비행
ACRN,Acrobat team,곡예비행팀
ACRN,Acrobatic (maneuver),곡예비행
ACRN,Acryl,아크릴
ACRN,Acrylic resin,아크릴 수지
ACS,Advanced communication system,
ACS,Air conditioning system,공기 조화계통
ACS,American chemical society,
ACS,Armament control system,무장 제어시스템
ACS,Assistant chief of staff,부 참모장
ACS,Astrocompass system,
ACS,Attitude control system,자세
ACS,Aural cueing system,청각 신호시스템
ACS,Automated control system,
ACS-O,Access opening,
ACS-PNL,Access panel,
ACSN,Advance change / study notice,사전변경/연구통보
ACSN,Aircraft change study notice,
ACSS,Aircrew coordination support system,승무원 협조 지원체계
ACST,Acoustic,
ACT,Accelerometer transmitter,
ACT,Active control technology,능동 통제/제어 기술
ACT,Actuator,작동기 (엑츄에이터)
ACT,Advanced composite technology,고등복합재 기술
ACT,Advanced composites technology,
ACT,Advanced computer technique,첨단 컴퓨터 기술
ACT,Air combat tactics,공중 전술
ACT,Antenna coupler tuner,안테나 결합
ACT.,Action,
ACT.,Activity,
ACT. NO.,Account number,
ACTDs,Advanced concept technology demonstration programs,첨단개념 기술홍보 계획
ACTE,Automatic checkout test equipment,자동 점검 시험장비
ACTES,Acting Jack,작동 잭
ACTES,Action time,작동시간(고체추진로켓의)
ACTES,Activated Bagged Desiccants,활성 건조제
ACTES,Activated carbon,활성탄
ACTES,Activator,활성제
ACTES,Active air defense,적극방공
ACTES,Active aircraft,"현용(現用)항공기, 기존항공기"
ACTES,Active communication satellite,능동형 통신위성
ACTES,Active electronic countermeasure,능동 전자 방해책
ACTES,Active flutter,능동 플러터
ACTES,Active flutter suppression,능동 플러터 감쇄
ACTES,Active homing guidance,"능동(적) 호밍 유도, 능동(적) 명중 유도"
ACTES,Activity factor,작동계수
ACTES,Air combat training evaluation system,
ACTR,Actuator,
ACTS,Actual exhaust velocity,실제 배기속도
ACTS,Actual gross weight,실제 총중량
ACTS,Actual weight,실제 중량
ACTS,Actuating Cylinder,작동 실린더
ACTS,Actuating Lever,작동 레버
ACTS,Actuating Nut,작동 너트
ACTS,Actuation Rod,작동 로드
ACTS,Actuator,"엑추에이터, 작동기"
ACTS,Actuator Cover,작동기 덮개
ACTS,Actuator Fitting,작동기 피팅
ACTS,Actuator gearbox,작동기 기어 박스
ACTS,Actuator Leaf,작동기 리프
ACTS,Actuator Linkage,작동기 링키지
ACTS,Actuator Rod,작동기 로드
ACTS,Actuator Spring,작동기 스프링
ACTS,"Actuator, Flight control surface,",
ACTS,"Actuator, Leading edge flap, Aircraft",작동기 기어 박스
ACTS,Advanced communication technology satellite,첨단통신 기술위성
ACTS,Automated component tracking system,
ACTVT,Activate,
ACU,Antenna control unit,안테나 제어장치
ACU,Avionics control unit,항공전자 제어장치
ACU,Avionics converter unit,항공전자 변환기 유닛
ACUM,Accumulator,
ACUM,Acute altitude sickness,급성고공병
ACV,Air cushion vehicle,공기 부양선
ACWG,Associated contractor working group,
ACWP,Actual cost work performed,
AD,Active defense,능동적(적극적) 방어
AD,Advanced development,
AD,Aerodynamic disturbance,공력 요란
AD,Aerodynamic drag,공기역학적 항력
AD,Air data,공기 자료
AD,Air defense,"제공, 방공"
AD,Aircraft defense,항공기 방어
AD,Aircraft depot,
AD,Airworthiness directive,감항(내항성)지시/감항성 개선명령
AD,Alarm and display,경보 및 시현(표시)
AD,Analog-to-digital,아날로그- 디지털(변환)
AD,Arming delay,장전 지연
ADA,Aeronautical development agency,인도
ADA,Air defense aircraft,
ADA,Air defense alert,
ADA,Air defense area,공중 방어구역
ADA,T,언어 (미 국방성 S/W 표준일반 고차
ADA,언어),
ADAAPS,"Aircraft data acquisition, analysis and presentation system","항공기 자료 획득,   해석 및 표시장치"
ADADL,Ada design language,에이다 설계 언어
ADAIRS,Air data and inertial reference system,대기 자료 및 관성 표준시스템
ADAM,Air defense area monthly report,
ADAM,Aviation diagnostics and maintenance,
ADAP,Afterbody Drag Approximation Procedure,후방동체 항력 개략 계산 절차
ADAP,Automated detail and assembly planning,
ADAPT,Adaptability test,적합시험
ADAPT,Adaptation,"적응, 부가(附加)"
ADAPT,Adapter,어댑터
ADAPT,Adapter Assembly,어댑터 조립체
ADAPT,Adapter Block,어댑터 블록
ADAPT,Adapter booster,어댑터 부스터
ADAPT,Adapter bushing,어댑터 부싱
ADAPT,Adapter cable,어댑터 케이블
ADAPT,Adapter Check Valve,어댑터 체크밸브
ADAPT,Adapter Fitting,어댑터 피팅
ADAPT,Adapter hose,어댑터 호스
ADAPT,Adapter kit,어댑터 키트
ADAPT,Adapter Pocket,어댑터 포켓
ADAPT,Adapter Set,어댑터 세트
ADAS,Automated data acquisition system,자동화 자료 획득시스템
ADAS,Automated data analysis system,자동화 자료 해석시스템
ADAU,Air data acquisition unit,대기자료 획득장치
ADAU,Auxiliary data acquisition unit,보조 자료 획득장치
ADAZ,Air defense zone,공중 방어구역
ADB,Absolute distance between bend,
ADB,Aero data base,
ADB,Air Data Bus,대기 자료 버스
ADC,Administrative commitment document,
ADC,Advanced computer,첨단 컴퓨터
ADC,Air data computer,대기 자료 컴퓨터
ADC,Air Data Computer,공기자료 컴퓨터
ADC,Air data conversion,대기 자료 변환기
ADC,Air Data Converter,공기자료 변환기
ADC,Air defense command,미국 항공
ADC,Air development center,
ADC,Air development command,
ADC,Analog to digital converter,아날로그-디지털 변환기
ADC,Automated data collection,자동화 자료수집
ADCA,Advanced design composite aircraft,최신 설계 복합항공기
ADCC,Air defense control center,공중 방어 통제소
ADCC,Asynchronous data communications controller,비동기 데이터 통신제어기
ADCCP,Advanced data communication control protocol,
ADCIS,Air defense command and information system,공중방어 명령 및 정보체계
ADCN,Advanced drawing change notice,사전 도면변경 통지
ADCon,Analog-to-digital converter,아날로그 디지털 변환기
ADCS,Air data computer system,대기 자료 컴퓨터 시스템
ADD,Agency for defense development,국방과학연구소 (국과연)
ADD,Airstream direction detector,대기 방향 지시(실속 방지)
ADD,Algorithm description document,
ADD'L,Additional,
ADD.,Addendum,
ADD.,Addition,"부가, 추가"
ADDC,Added value,부가가치
ADDC,Adder,가산기
ADDC,Air defense direction center,항공 방위 관리센터
ADDF,ADD-HEAT(ADD-HEAT VALVE),가열(가열 밸브)
ADDF,Additional equipment,추가 장비
ADDF,Additives for jet fuel,제트 연료 첨가제
ADDF,Automated deferred discrepancy file,
ADDR,Address,어드레스
ADDR,Address Bus,어드레스 버스
ADDR,Address latch,어드레스 걸쇠
ADDR,Address Multiplexer,어드레스 멀티 플렉서
ADDS,Advanced digital dispenser system,
ADDS,Airborne decoy dispensing system,
ADED,Aft data entry display,후방석 자료입력 시현
ADEG,AIAA aerospace design engineers,
ADEO,Analysis-databases exchange for publications and training,
ADEOS,Advanced earth observation satellite,첨단 지구 관측위성
ADF,Advanced daylight fighter,첨단 주간 전투기
ADF,Aerodynamic development facility,항공 역학 개발시험실
ADF,Air defense fighter,공중 방어 전투기
ADF,Air defense force,공중 방어력
ADF,Application development facility,
ADF,Automatic Direction Finder,자동(무선) 방향 탐지기
ADF,Automatic Direction Finding,자동(무선) 방향 탐지
ADFRF,Ames dryden flight research facility,
ADG,Accessory Drive Gearbox,보기 구동 기어 박스
ADG,Aircraft delivery group,
ADGE,Air defense ground environment,
ADH,Adhesion values,점착치
ADH,Adhesive,접착제
Adh,Adhesive,
ADH,Automatic data handling,자동 데이터 처리
ADHS,Analog data handling system,아날로그 자료 처리시스템
ADI,Accounting department instructions,
ADI,Air defense intercept,
ADI,Anti-detonation injection,(기통내) 이상 폭발방지 주사 (제폭 분사)
ADI,Antidetonation injection,
ADI,Attitude Direction Indicator,자세계 자세방향계
ADI,Automatic Data Initialization,자동 자료 준비
ADIA,Adiabatic change,단열변화
ADIA,Adiabatic chart,단열도 (圖)
ADIA,Adiabatic cooling,단열 냉각
ADIA,Adiabatic flame temperature,단열화염온도
ADIA,Adiabatic lapse rate,단열 감율 (減率)
ADIA,Adiabatic process,단열 과정
ADIA,Adiabatic reversible change,단열가역(可逆) 변화
ADIA,Attitude Director Indicator Afterward,후방석 자세계
ADIF,Attitude Director Indicator Forward,전방석 자세계
ADIO,Analog/discrete input/output,
ADIR,AMAS director mode,
ADIRS,Air data & inertial reference system,대기자료 및 관성 표준장치
ADIS,Air defense integrated system,공중 방어 통합시스템
ADIZ,Air defense identification zone,공중 방어 식별구역
ADJ,Adjust,
ADJ,Adjust Screw,조절 나사
ADJ,Adjustable-area nozzle,가변노즐
ADJ,Adjustable-pitch propeller,피치조정 프로펠러
ADJ,Adjustment,"조정, 조절"
